PFAS,SMILES,System,initial photoinitiator concentration,initial PFAS concentration,pH,temperature,contact time,UV,HA,TOC,Ccl,Cphosphate,"CNO3
(mM)",CHCO3,CSO4,CCO3,k
¦ØH-PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,
¦ØH-PFNA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,
6:2 Cl PFESA,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)Cl)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(O)(=O)=O.[K+],UV/S,20,160,10,,8,253.7,,,,,,,,,
¦ØCl-TFA,O=C(O)C(F)(F)Cl,UV/S,10,25,12,20,0.07,254,,,,,,,,,
¦ØCl-PFPrA,O=C(O)C(F)(F)C(F)(F)Cl,UV/S,10,25,12,20,0.07,254,,,,,,,,,
¦ØCl PFPeA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,UV/S,10,25,12,20,0.07,254,,,,,,,,,
¦ØCl-PFNA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,UV/S,10,25,12,20,0.07,254,,,,,,,,,
Cl2-PFBA,O=C(O)C(F)(F)C(Cl)(F)C(F)(F)Cl,UV/S,10,25,12,20,0.03,254,,,,,,,,,
Cl3-PFHxA,O=C(O)C(F)(F)C(Cl)(F)C(F)(F)C(Cl)(F)C(F)(F)Cl,UV/S,10,25,12,20,0.07,254,,,,,,,,,
Cl4-PFOA,O=C(O)C(F)(F)C(Cl)(F)C(F)(F)C(Cl)(F)C(F)(F)C(Cl)(F)C(F)(F)Cl,UV/S,10,25,12,20,0.07,254,,,,,,,,,
HFPO-DA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)O
",UV/S,20,160,10,,6,253.7,,,,,,,,,2.03
HFPO-DA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)O
",UV/S,20,160,6.8,,8,253.7,,13.2,,,2.3,,,,1.776
HFPO-TeA,C(F)(F)FC(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(=O)O,UV/S,20,160,10,,8,253.7,,,,,,,,,
HFPO-TrA,C(F)(F)FC(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(=O)O,UV/S,20,160,10,,8,253.7,,,,,,,,,
TeA-w,C(F)(F)FOC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(=O)O,UV/S,20,160,10,,8,253.7,,,,,,,,,
HFPO-DA,C(F)(F)FC(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(=O)O,UV/S,10,25,9.5,20,48,254,,,,,,,,,
HFPO-TrA,C(F)(F)FC(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(=O)O,UV/S,10,25,9.5,20,48,254,,,,,,,,,
HFPO-TeA,C(F)(F)FC(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(=O)O,UV/S,10,25,9.5,20,48,254,,,,,,,,,
1:1 PFECA,C(F)(F)FOC(F)(F)C(=O)O,UV/S,10,25,9.5,20,48,254,,,,,,,,,
PF4OPeA,C(F)(F)FOC(F)(F)C(F)(F)C(=O)O,UV/S,10,25,9.5,20,48,254,,,,,,,,,
PF5OHxA,C(F)(F)FOC(F)(F)C(F)(F)C(F)(F)C(=O)O,UV/S,10,25,9.5,20,48,254,,,,,,,,,
1:2:1 PFECA,C(F)(F)FOC(F)(F)C(F)(F)OC(F)(F)C(=O)O,UV/S,10,25,9.5,20,48,254,,,,,,,,,
1:2:2:1 PFECA,C(F)(F)FOC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(=O)O,UV/S,10,25,9.5,20,48,254,,,,,,,,,
4:2:1 PFECA,C(F)(F)FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(=O)O,UV/S,10,25,9.5,20,48,254,,,,,,,,,
4:2:2:1 PFECA,C(F)(F)FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(=O)O,UV/S,10,25,9.5,20,48,254,,,,,,,,,
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]
",UV/S,2,100,12,,8,253.7,,,,,,,,,1.35
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]
",UV/S,2,100,12,,8,184.9,,,,,,,,,1.98
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]

",UV/S,1,100,12,,8,253.7,,,,,,,,,1.62
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]

",UV/S,3,100,12,,8,253.7,,,,,,,,,2.202
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]

",UV/S,1,100,12,,8,184.9,,,,,,,,,0.282
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]
",UV/S,3,100,12,,8,184.9,,,,,,,,,3.18
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]

",UV/S,5,100,12,,8,253.7,,,,,,,,,4.08
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]

",UV/S,5,100,12,,8,184.9,,,,,,,,,6.12
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]

",UV/S,2,100,10.02,,8,184.9,,,,,,,,,
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]

",UV/S,2,100,11.01,,8,184.9,,,,,,,,,
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]

",UV/S,2,100,5.98,,8,184.9,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,2,100,12,,8,253.7,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,2,100,12,,8,184.9,,,,,,,,,
GenX,C(CF3)2O,UV/S,2,100,12,,8,184.9,,,,,,,,,
HFPO-TA,C6HF9O4,UV/S,2,100,12,,8,184.9,,,,,,,,,
HFPO-TeA,C(F)(F)FC(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(=O)O,UV/S,2,100,12,,8,184.9,,,,,,,,,
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]
",UV/S,2,100,3.99,,8,184.9,,,,,,,,,
C7 HFPO TA,C(F)(F)FOC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(=O)O,UV/S,2,100,5.98,,8,184.9,,,,,,,,,
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]
",UV/S,2,100,8.02,,8,184.9,,,,,,,,,
C7 HFPO TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]
",UV/S,2,100,10.01,,8,184.9,,,,,,,,,
F-53,C(C(F)(F)F)(C(F)(F)F)C(OCF2CF2SO3K),UV/S,20,160,10,,8,253.7,,,,,,,,,
1:3 FTCA,CF3CH2CH2COOH,UV/S,10,25,9.5,20,48,254,,,,,,,,,
2:3 FTCA,FCF2CF2CH2CH2COOH,UV/S,10,25,9.5,20,48,254,,,,,,,,,
3:3 FTCA,FCF2CF2CF2CH2CH2COOH,UV/S,10,25,9.5,20,48,254,,,,,,,,,
4:3 FTCA,FCF2CF2CF2CF2CH2CH2COOH,UV/S,10,25,9.5,20,48,254,,,,,,,,,
5:3 FTCA,FCF2CF2CF2CF2CF2CH2CH2COOH,UV/S,10,25,9.5,20,48,254,,,,,,,,,
6:3 FTCA,FCF2CF2CF2CF2CF2CF2CH2CH2COOH,UV/S,10,25,9.5,20,48,254,,,,,,,,,
7:3 FTCA,FCF2CF2CF2CF2CF2CF2CF2CH2CH2COOH,UV/S,10,25,9.5,20,48,254,,,,,,,,,
8:3 FTCA,FCF2CF2CF2CF2CF2CF2CF2CF2CH2CH2COOH,UV/S,10,25,9.5,20,48,254,,,,,,,,,
1:3 FTCA,CF3CH2CH2COOH,UV/S,10,25,9.5,20,48,254,,,,,,,,,
2:3 FTCA,FCF2CF2CH2CH2COOH,UV/S,10,25,9.5,20,48,254,,,,,,,,,
3:3 FTCA,FCF2CF2CF2CH2CH2COOH,UV/S,10,25,9.5,20,48,254,,,,,,,,,
4:3 FTCA,FCF2CF2CF2CF2CH2CH2COOH,UV/S,10,25,12,20,48,254,,,,,,,,,
5:3 FTCA,FCF2CF2CF2CF2CF2CH2CH2COOH,UV/S,10,25,12,20,48,254,,,,,,,,,
6:3 FTCA,FCF2CF2CF2CF2CF2CF2CH2CH2COOH,UV/S,10,25,12,20,48,254,,,,,,,,,
7:3 FTCA,FCF2CF2CF2CF2CF2CF2CF2CH2CH2COOH,UV/S,10,25,12,20,48,254,,,,,,,,,
8:3 FTCA,FCF2CF2CF2CF2CF2CF2CF2CF2CH2CH2COOH,UV/S,10,25,12,20,48,254,,,,,,,,,
4:2 FTSA,FCF2CF2CF2CF2CH2CH2SO3H,UV/S,10,20,9.5,20,24,254,,,,,,,,,
